Filename,SMILES_rad,BDE_kJ,CS_Filename,SMILES_CS,SMILES_react
SO2NH-4F2B_rad2,[NH-]S(=O)(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,404.76,SO2NH-4F2B,C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)[NH-],C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)[NH-]>[NH-]S(=O)(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
COO-4F2B_rad2,[O-]C(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,408.2,COO-4F2B,C(F)(F)(C(=O)[O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C(=O)[O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>[O-]C(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO2NH-2FiPF_rad4,[NH-]S(=O)(=O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,411.32,SO2NH-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S(=O)(=O)[NH-],C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)S(=O)(=O)[NH-]>[NH-]S(=O)(=O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
NCH33-2FiPF_rad4,C[N+](C)(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,412.84,NCH33-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F>C[N+](C)(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3PO2-4F2B_rad4,CP(=O)([O-])C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,414.55,CH3PO2-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)([O-])C,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)([O-])C>CP(=O)([O-])C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
PO3H-4F2B_rad4,O=P([O-])(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,417.47,PO3H-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)[O-],C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)[O-]>O=P([O-])(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CH3PO2-2FiPF_rad2,CP(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,418.19,CH3PO2-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)([O-])C,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)([O-])C>CP(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SO3-2FiPF_rad4,O=S(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,418.66,SO3-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O),C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)S([O-])(=O)(=O)>O=S(=O)([O-])C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
PO3H-2FiPF_rad4,O=P([O-])(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,420.4,PO3H-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)[O-],C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)[O-]>O=P([O-])(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3PO2H-2FiPF_rad3,CP(=O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,420.52,CH3PO2H-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)C,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)C>CP(=O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
NCH32-2FiPF_rad3,CN(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,421.72,NCH32-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N(C)C)C(F)(F)F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N(C)C)C(F)(F)F>CN(C)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SO3-4F2B_rad3,O=S(=O)([O-])C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,421.97,SO3-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)S([O-])(=O)(=O),C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)S([O-])(=O)(=O)>O=S(=O)([O-])C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO3H-2FiPF_rad2,O=S(=O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,423.17,SO3H-2FiPF,C(F)(C(F)(F)F)(C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)O,C(F)(C(F)(F)F)(C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)O>O=S(=O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SO2NH-4F1B_rad4,[NH-]S(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,424.43,SO2NH-4F1B,C(F)(F)(C(C(F)(F)C(F)(F)F)(C(F)(F)F)F)S(=O)(=O)[NH-],C(F)(F)(C(C(F)(F)C(F)(F)F)(C(F)(F)F)F)S(=O)(=O)[NH-]>[NH-]S(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
PO3H2-2FiPF_rad3,O=P(O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,425.41,PO3H2-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)O,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(F)(F)F)P(=O)(O)O>O=P(O)(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3PO2-4F1B_rad5,CP(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,428.97,CH3PO2-4F1B,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)([O-])C,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)([O-])C>CP(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
NCH33-4F1B_rad3,C[N+](C)(C)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,429.59,NCH33-4F1B,C(F)(F)([N+](C)(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)([N+](C)(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>C[N+](C)(C)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
SiOCH33-2FiPF_rad4,CO[Si](OC)(OC)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,431.09,SiOCH33-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([Si](OC)(OC)OC)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([Si](OC)(OC)OC)C(F)(F)F>CO[Si](OC)(OC)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SO3-4F1B_rad3,O=S(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,431.3,SO3-4F1B,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)S([O-])(=O)(=O),C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)S([O-])(=O)(=O)>O=S(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
SO2NH2-4F1B_rad5,NS(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,432.48,SO2NH2-4F1B,C(F)(F)(C(C(F)(F)C(F)(F)F)(C(F)(F)F)F)S(=O)(=O)N,C(F)(F)(C(C(F)(F)C(F)(F)F)(C(F)(F)F)F)S(=O)(=O)N>NS(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
COO-4F1B_rad3,[O-]C(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,432.55,COO-4F1B,C(F)(F)(C(=O)[O-])C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,C(F)(F)(C(=O)[O-])C(C(F)(F)F)(F)C(F)(C(F)(F)F)F>[O-]C(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
SO3H-4F1B_rad3,O=S(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,433.75,SO3H-4F1B,C(F)(C(C(F)(F)F)(F)C(F)(C(F)(F)F)F)(F)S(=O)(=O)O,C(F)(C(C(F)(F)F)(F)C(F)(C(F)(F)F)F)(F)S(=O)(=O)O>O=S(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
SO2NH-1FiPF_rad2,[NH-]S(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)F,434.56,SO2NH-1FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(F)S(=O)(=O)[NH-],C(F)(C(F)(C(F)(F)F)C(F)(F)F)(F)S(=O)(=O)[NH-]>[NH-]S(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)F
PO3H-4F1B_rad5,O=P([O-])(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,437.04,PO3H-4F1B,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)(O)[O-],C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)(O)[O-]>O=P([O-])(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
CH3PO2H-4F1B_rad3,CP(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,437.43,CH3PO2H-4F1B,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)(O)C,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)(O)C>CP(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
CH3PO2H-4F2B_rad4,CP(=O)(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,438.09,CH3PO2H-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)C,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)C>CP(=O)(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
PO3H2-4F1B_rad2,O=P(O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,438.6,PO3H2-4F1B,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)(O)O,C(F)(F)(C(C(F)(C(F)(F)F)F)(C(F)(F)F)F)P(=O)(O)O>O=P(O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
NCH33-1FiPF_rad2,C[N+](C)(C)C(F)(F)[C](C(F)(F)F)C(F)(F)F,438.75,NCH33-1FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)F>C[N+](C)(C)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CF3-4F1B_rad4,FC(F)(F)[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,439.41,CF3-4F1B,C(F)(F)(C(F)(F)F)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,C(F)(F)(C(F)(F)F)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F>FC(F)(F)[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
SiOCH33-4F1B_rad4,CO[Si](OC)(OC)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,439.79,SiOCH33-4F1B,C(F)(F)([Si](OC)(OC)OC)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)([Si](OC)(OC)OC)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>CO[Si](OC)(OC)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
SO3-1FiPF_rad3,O=S(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)F,439.92,SO3-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)S([O-])(=O)(=O),C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)S([O-])(=O)(=O)>O=S(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO2NH2-4F2B_rad4,NS(=O)(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,440.77,SO2NH2-4F2B,C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)N,C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)N>NS(=O)(=O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
PO3H2-4F2B_rad2,O=P(O)(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,440.87,PO3H2-4F2B,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)O,C(F)(F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)P(=O)(O)O>O=P(O)(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SH-4F1B_rad3,FC(F)(F)[C](C(F)(F)S)C(F)(F)C(F)(F)F,441.19,SH-4F1B,C(F)(F)(S)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)(S)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>FC(F)(F)[C](C(F)(F)S)C(F)(F)C(F)(F)F
COOH-4F1B_rad4,O=C(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,442.13,COOH-4F1B,C(F)(F)(C(=O)O)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,C(F)(F)(C(=O)O)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F>O=C(O)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
NCH32-4F1B_rad5,CN(C)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,442.5,NCH32-4F1B,C(F)(F)(N(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)(N(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>CN(C)C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
COO-1FiPF_rad2,[O-]C(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)F,443.23,COO-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(=O)[O-])F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C(=O)[O-])F>[O-]C(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)F
COOH-2FiPF_rad3,O=C(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,443.45,COOH-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C(=O)O)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C(=O)O)C(F)(F)F>O=C(O)C(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SiOCH33-4F2B_rad4,CO[Si](OC)(OC)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,443.47,SiOCH33-4F2B,C(F)(F)([Si](OC)(OC)OC)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)([Si](OC)(OC)OC)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>CO[Si](OC)(OC)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CH3PO2-1FiPF_rad2,CP(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)F,443.83,CH3PO2-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)([O-])C,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)([O-])C>CP(=O)([O-])C(F)(F)[C](C(F)(F)F)C(F)(F)F
PO3H-1FiPF_rad2,O=P([O-])(O)C(F)(F)[C](C(F)(F)F)C(F)(F)F,444.83,PO3H-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)[O-],C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)[O-]>O=P([O-])(O)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO3H-1FiPF_rad2,O=S(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)F,445.07,SO3H-1FiPF,C(F)(F)(C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)O,C(F)(F)(C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)O>O=S(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO3H-4F2B_rad4,O=S(=O)(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,445.86,SO3H-4F2B,C(F)(C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)(F)S(=O)(=O)O,C(F)(C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)(F)S(=O)(=O)O>O=S(=O)(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SH-2FiPF_rad3,FC(F)(F)[C](C(F)(F)F)C(F)(S)C(F)(F)F,447.01,SH-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(S)C(F)(F)F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(S)C(F)(F)F>FC(F)(F)[C](C(F)(F)F)C(F)(S)C(F)(F)F
COOH-4F2B_rad2,O=C(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,447.67,COOH-4F2B,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>O=C(O)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
NH2-4F2B_rad3,NC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,447.82,NH2-4F2B,C(F)(F)(N)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(N)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>NC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SO2NH2-1FiPF_rad3,NS(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)F,447.89,SO2NH2-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)S(=O)(=O)N,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)S(=O)(=O)N>NS(=O)(=O)C(F)(F)[C](C(F)(F)F)C(F)(F)F
SH-4F2B_rad4,FC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)S,448.16,SH-4F2B,C(F)(F)(S)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(S)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>FC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)S
CF3-4F2B_rad4,FC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,448.17,CF3-4F2B,C(F)(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>FC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
OCH3-2FiPF_rad2,COC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,448.18,OCH3-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(OC)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(OC)C(F)(F)F>COC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CCF-4F2B_rad3,F/C=C/C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,448.29,CCF-4F2B,C(F)(F)(/C=C/F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(/C=C/F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>F/C=C/C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CH3-4F2B_rad2,CC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,448.33,CH3-4F2B,C(F)(F)(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>CC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CC-4F2B_rad4,C=CC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,448.38,CC-4F2B,C=CC(F)(C(F)(C(C(F)(F)F)(C(F)(F)F)F)F)F,C=CC(F)(C(F)(C(C(F)(F)F)(C(F)(F)F)F)F)F>C=CC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
NCH33-4F2B_rad4,C[N+](C)(C)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,448.46,NCH33-4F2B,C(F)([N+](C)(C)C)(C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)F,C(F)([N+](C)(C)C)(C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)F>C[N+](C)(C)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
NH3-4F1B_rad3,[NH3+]C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,448.68,NH3-4F1B,C(F)([NH3+])(C(C(F)(F)F)(F)C(F)(C(F)(F)F)F)F,C(F)([NH3+])(C(C(F)(F)F)(F)C(F)(C(F)(F)F)F)F>[NH3+]C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
NCH32-4F2B_rad2,CN(C)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,448.77,NCH32-4F2B,C(F)(F)(N(C)C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(N(C)C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>CN(C)C(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CCF-4F1B_rad5,F/C=C/C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,449.16,CCF-4F1B,C(F)(F)(/C=C/F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)(/C=C/F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>F/C=C/C(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
CC-4F1B_rad3,C=CC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,449.24,CC-4F1B,C=CC(F)(C(C(F)(F)F)(C(C(F)(F)F)(F)F)F)F,C=CC(F)(C(C(F)(F)F)(C(C(F)(F)F)(F)F)F)F>C=CC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
COH-4F2B_rad2,O=CC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,449.45,COH-4F2B,C(F)(F)(C=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>O=CC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
OCH3-4F2B_rad2,COC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,450.2,OCH3-4F2B,C(F)(F)(OC)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(OC)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>COC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
OH-4F2B_rad4,OC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F,450.2,OH-4F2B,C(F)(F)(O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>OC(F)(F)C(F)(F)[C](C(F)(F)F)C(F)(F)F
COH-2FiPF_rad2,O=CC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,450.66,COH-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C=O)C(F)(F)F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(C=O)C(F)(F)F>O=CC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3PO2H-1FiPF_rad2,CP(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)F,451.48,CH3PO2H-1FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)C,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(F)P(=O)(O)C>CP(=O)(O)C(F)(F)[C](C(F)(F)F)C(F)(F)F
CH3-2FiPF_rad3,CC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,451.75,CH3-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C)C(F)(F)F>CC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
CH3-4F1B_rad4,CC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,452.26,CH3-4F1B,C(F)(F)(C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)(C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>CC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
OH-4F1B_rad3,OC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F,452.62,OH-4F1B,C(F)(F)(O)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,C(F)(F)(O)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F>OC(F)(F)[C](C(F)(F)F)C(F)(F)C(F)(F)F
CC-2FiPF_rad4,C=CC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,452.91,CC-2FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C=C)C(F)(F)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(C=C)C(F)(F)F>C=CC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
SH-1FiPF_rad2,FC(F)(F)[C](C(F)(F)F)C(F)(F)S,452.99,SH-1FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(S)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(S)F>FC(F)(F)[C](C(F)(F)F)C(F)(F)S
NH2-2FiPF_rad2,NC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F,453.06,NH2-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N)C(F)(F)F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N)C(F)(F)F>NC(F)([C](C(F)(F)F)C(F)(F)F)C(F)(F)F
