Filename,SMILES_rad,BDE_kJ,CS_Filename,SMILES_CS,SMILES_react
COOH-5F_rad3,C(F)(C(=O)O)(C(F)([C](F)C(F)(F)C(F)(F)F)F)F,483.8292022,COOH-5F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>C(F)(C(=O)O)(C(F)([C](F)C(F)(F)C(F)(F)F)F)F
COOH-2Fo2F_rad,[C](F)(C(=O)O)C(OC(C(F)(F)F)(F)F)(F)F,469.6613271,COOH-2Fo2F,C(F)(F)(C(=O)O)C(OC(C(F)(F)F)(F)F)(F)F,C(F)(F)(C(=O)O)C(OC(C(F)(F)F)(F)F)(F)F>[C](F)(C(=O)O)C(OC(C(F)(F)F)(F)F)(F)F
COOH-5F_rad4,C(F)(C(=O)O)(C(F)(C(F)([C](F)C(F)(F)F)F)F)F,489.8987224,COOH-5F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(C(=O)O)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>C(F)(C(=O)O)(C(F)(C(F)([C](F)C(F)(F)F)F)F)F
CH3PO2-2F1F_rad,[C](C(F)(F)F)(C(F)(F)F)P(=O)([O-])C,457.4074713,CH3PO2-2F1F,C(F)(C(F)(F)F)(C(F)(F)F)P(=O)([O-])C,C(F)(C(F)(F)F)(C(F)(F)F)P(=O)([O-])C>[C](C(F)(F)F)(C(F)(F)F)P(=O)([O-])C
OCH3-4F1B_rad,[C](F)(OC)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,507.1451389,OCH3-4F1B,C(F)(F)(OC)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)(OC)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>[C](F)(OC)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F
CH3-1F_rad,[C](F)(C)F,543.3652817,CH3-1F,C(F)(F)(C)F,C(F)(F)(C)F>[C](F)(C)F
SH-1FiPF_rad,[C](C(F)(C(F)(F)F)C(F)(F)F)(S)F,469.3173695,SH-1FiPF,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(S)F,C(F)(C(F)(C(F)(F)F)C(F)(F)F)(S)F>[C](C(F)(C(F)(F)F)C(F)(F)F)(S)F
NH2-2F_rad,[C](F)(N)C(F)(F)F,504.2304674,NH2-2F,C(F)(F)(N)C(F)(F)F,C(F)(F)(N)C(F)(F)F>[C](F)(N)C(F)(F)F
CC-5F_rad2,C(F)(C=C)([C](F)C(F)(C(F)(F)C(F)(F)F)F)F,494.4599993,CC-5F,C=CC(F)(C(F)(C(C(F)(C(F)(F)F)F)(F)F)F)F,C=CC(F)(C(F)(C(C(F)(C(F)(F)F)F)(F)F)F)F>C(F)(C=C)([C](F)C(F)(C(F)(F)C(F)(F)F)F)F
PO3H2-1FtBF_rad,[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)P(=O)(O)O,460.9557078,PO3H2-1FtBF,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)P(=O)(O)O,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)P(=O)(O)O>[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)P(=O)(O)O
COOH-1Fo1Fo1F_rad,[C](F)(C(=O)O)OC(F)(OC(F)(F)F)F,483.9121263,COOH-1Fo1Fo1F,C(F)(F)(C(=O)O)OC(F)(OC(F)(F)F)F,C(F)(F)(C(=O)O)OC(F)(OC(F)(F)F)F>[C](F)(C(=O)O)OC(F)(OC(F)(F)F)F
PO3H2-5F_rad,[C](F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)O,473.2258969,PO3H2-5F,C(F)(F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)O,C(F)(F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)O>[C](F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)O
OH-2Fo2F_rad,[C](F)(O)C(F)(F)OC(F)(F)C(F)(F)F,522.3641541,OH-2Fo2F,C(F)(F)(O)C(F)(F)OC(F)(F)C(F)(F)F,C(F)(F)(O)C(F)(F)OC(F)(F)C(F)(F)F>[C](F)(O)C(F)(F)OC(F)(F)C(F)(F)F
CH3PO2-1F2H_rad,[C](F)(CC)P(=O)([O-])C,515.5775563,CH3PO2-1F2H,C(F)(F)(CC)P(=O)([O-])C,C(F)(F)(CC)P(=O)([O-])C>[C](F)(CC)P(=O)([O-])C
CC-2F_rad,C=C[C](C(F)(F)F)F,448.3669874,CC-2F,C=CC(F)(C(F)(F)F)F,C=CC(F)(C(F)(F)F)F>C=C[C](C(F)(F)F)F
COO-5F_rad5,C(F)(C(=O)[O-])(C(F)(F)C(F)(C(F)(F)[C](F)F)F)F,509.0902973,COO-5F,C(F)(F)(C(=O)[O-])C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(C(=O)[O-])C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>C(F)(C(=O)[O-])(C(F)(F)C(F)(C(F)(F)[C](F)F)F)F
SO2NH2-4F2B_rad,[C](F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)N,478.1470967,SO2NH2-4F2B,C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)N,C(F)(F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)N>[C](F)(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)S(=O)(=O)N
NCH32-3F_rad,[C](F)(N(C)C)C(F)(F)C(F)(F)F,491.8878991,NCH32-3F,C(F)(F)(N(C)C)C(F)(F)C(F)(F)F,C(F)(F)(N(C)C)C(F)(F)C(F)(F)F>[C](F)(N(C)C)C(F)(F)C(F)(F)F
NH2-2FiPF_rad,[C](C(C(F)(F)F)(F)C(F)(F)F)(N)C(F)(F)F,434.137331,NH2-2FiPF,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N)C(F)(F)F,C(F)(C(C(F)(F)F)(F)C(F)(F)F)(N)C(F)(F)F>[C](C(C(F)(F)F)(F)C(F)(F)F)(N)C(F)(F)F
SH-1FtBF_rad,[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(S)F,468.1139555,SH-1FtBF,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(S)F,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(S)F>[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(S)F
NCH33-2FtBF_rad,[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F,433.3297913,NCH33-2FtBF,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F,C(F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F>[C](C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F
NH2-3F_rad,[C](F)(N)C(F)(F)C(F)(F)F,498.1103275,NH2-3F,C(F)(F)(N)C(F)(F)C(F)(F)F,C(F)(F)(N)C(F)(F)C(F)(F)F>[C](F)(N)C(F)(F)C(F)(F)F
CH3-4F2B_rad,[C](F)(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,496.7423207,CH3-4F2B,C(F)(F)(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F>[C](F)(C)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
CF3-2F_rad,[C](F)(C(F)(F)F)C(F)(F)F,501.7565634,CF3-2F,C(F)(F)(C(F)(F)F)C(F)(F)F,C(F)(F)(C(F)(F)F)C(F)(F)F>[C](F)(C(F)(F)F)C(F)(F)F
CF3-4F1B_rad,[C](F)(C(F)(F)F)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,475.8620464,CF3-4F1B,C(F)(F)(C(F)(F)F)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F,C(F)(F)(C(F)(F)F)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F>[C](F)(C(F)(F)F)C(C(F)(F)F)(F)C(F)(C(F)(F)F)F
NCH33-4F1B_rad,[C](F)([N+](C)(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,482.7687447,NCH33-4F1B,C(F)(F)([N+](C)(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F,C(F)(F)([N+](C)(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F>[C](F)([N+](C)(C)C)C(F)(C(F)(F)F)C(F)(C(F)(F)F)F
PO3H-5F_rad,[C](F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)[O-],479.9315917,PO3H-5F,C(F)(F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)[O-],C(F)(F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)[O-]>[C](F)(C(C(F)(C(F)(F)C(F)(F)F)F)(F)F)P(=O)(O)[O-]
NCH33-2F2F_rad,[C](C(F)(F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F,458.3892618,NCH33-2F2F,C(F)(C(F)(F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F,C(F)(C(F)(F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F>[C](C(F)(F)C(F)(F)F)([N+](C)(C)C)C(F)(F)F
