SMILES_CS,SMILES_rad,BDE_kJ,BDE_kcal
NC(C(F)(C(F)(C(C(F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)F)F)=O,NC(C(F)(C(F)(C(C(F)(C(C(C(C([C](F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)F)F)=O,493.3048812,117.9009
[O-]C(C(OC(F)(C(OC(F)(C(OC(F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F)C(=O)[O-],476.5485427,113.8961
[O-]C(C(OC(F)(C(OC(F)(C(OC(F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(OC(F)(F)C(=O)[O-])C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,481.461052,115.0702
[O-]C(C(OC(F)(C(OC(F)(C(OC(F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(OC(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)OC(F)(F)C(=O)[O-],476.9870326,114.0009
[O-]C(C(OC(F)(C(OC(F)(C(OC(F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-])C(F)(F)OC(F)(F)F,476.4853633,113.881
[O-]C(C(OC(F)(C(OC(F)(C(OC(F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(OC(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-],503.528641,120.3444
[O-]C(C(OC(F)(C(OC(F)(C(OC(F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-],464.4369334,111.0014
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)[O-],469.3624132,112.1786
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(OC(F)(F)C(=O)[O-])C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,480.0037425,114.7219
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)C(=O)[O-],483.6007822,115.5816
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F,474.020113,113.2918
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-])C(F)(F)C(F)(F)F,455.956673,108.9746
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-],455.0901534,108.7675
[O-]C(C(OC(C(OC(F)(C(F)(C(F)(C(F)(F)F)F)F)F)(F)F)(F)F)(F)F)=O,[C](F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)[O-],493.446721,117.9348
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,463.4469839,110.7648
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,455.2001943,108.7938
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,448.4948137,107.1912
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],446.7985943,106.7858
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],447.0927339,106.8561
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],452.5721838,108.1657
[O-]C(CCC(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],492.7350117,117.7647
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC[C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,463.4917534,110.7755
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCCC([C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F,462.8607966,110.6247
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCCC(C([C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F)(F)F)(F)F,448.0140648,107.0763
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCCC(C(C([C](C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)(F)F)(F)F,446.3575939,106.6804
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCCC(C(C(C([C](C(C(F)(F)F)(F)F)F)(F)F)(F)F)(F)F)(F)F,446.5621947,106.7293
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCCC(C(C(C(C([C](C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F,453.2834747,108.3357
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCCC(C(C(C(C(C([C](F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,495.8935614,118.5196
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC[C](C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,462.8850641,110.6305
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC([C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F,455.1504039,108.7819
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(C([C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)(F)F,448.3345641,107.1529
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(C(C([C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F)(F)F)(F)F)(F)F,447.226624,106.8881
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(C(C(C([C](C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)(F)F)(F)F)(F)F,445.771825,106.5404
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(C(C(C(C([C](C(C(F)(F)F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F,446.5517345,106.7268
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(C(C(C(C(C([C](C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,452.8868254,108.2409
OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(C(C(C(C(C(C([C](F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,495.7990016,118.497
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OC[C](C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,462.3156131,110.4944
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC([C](C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F,455.565463,108.8811
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C([C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)F,452.3307633,108.108
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C(F)(C([C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)F)F,446.8563343,106.7996
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C(F)(C(C(F)([C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F)F)(F)F)F)F,451.4194743,107.8902
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C(F)(C(C(F)(C([C](C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)F,448.8358149,107.2727
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C(F)(C(C(F)(C(C([C](C(C(F)(F)F)(F)F)F)(F)F)(F)F)F)(F)F)F)F,447.1031941,106.8586
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C(F)(C(C(F)(C(C(C([C](C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F)F,453.2654832,108.3314
OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCC(F)(C(F)(C(C(F)(C(C(C(C([C](F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)F)F,491.6429711,117.5037
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,467.1624325,111.6528
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,454.2579431,108.5686
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(C(F)(F)C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,451.8345334,107.9894
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(C(F)(F)C(F)(F)C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,445.8509038,106.5593
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,443.7843947,106.0654
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO)C(F)(C(F)(F)F)C(F)(F)F,433.2087552,103.5378
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,406.753757,97.215
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,485.5618528,116.0503
OCCC(F)(C(C(F)(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)F)(F)F)F,[C](F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCO,485.4070425,116.0133
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C([O-])=O)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],449.0144744,107.3154
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C([O-])=O)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],454.0449743,108.5177
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C([O-])=O)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],449.3872745,107.4045
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C([O-])=O)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],448.7387446,107.2495
OCC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,OC[C](C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,465.1666341,111.1758
OCC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,OCC(F)([C](C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,454.9822045,108.7417
OCC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,OCC(F)(C(F)([C](C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,453.9085738,108.4851
OCC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,OCC(F)(C(F)(C(F)([C](C(F)(C(F)(C(F)(C(CO)(F)F)F)F)F)F)F)F)F,447.045454,106.8448
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,449.0094535,107.3142
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,451.9998039,108.0289
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,448.7994135,107.264
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,447.9328939,107.0569
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],447.1554949,106.8711
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],446.0291449,106.6019
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],446.5990144,106.7381
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],453.2182033,108.3201
[O-]C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)=O,[C](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],495.7203412,118.4782
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,463.2633035,110.7209
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(C(F)(F)CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,455.8541634,108.9501
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(C(F)(F)C(F)(F)CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,448.1613438,107.1115
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,447.2529836,106.8944
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],445.2810343,106.4231
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],446.7801844,106.7814
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],452.2387139,108.086
[O-]C(CCC(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)=O,[C](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)[O-],496.0144809,118.5485
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,449.0169849,107.316
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,463.7938428,110.8477
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,448.7416735,107.2502
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,447.7149042,107.0048
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,447.1634446,106.873
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],446.8144937,106.7896
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],446.1814449,106.6383
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],446.8617736,106.8009
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],452.1391332,108.0622
[O-]C(C(C(C(F)(C(C(F)(C(C(F)(C(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)(F)F)=O,[C](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)[O-],496.8780716,118.7549
O=C([O-])C(OC(C(OC(C(OC(F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,[C](OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)(C(=O)[O-])C(F)(F)F,435.1070649,103.9915
O=C([O-])C(OC(C(OC(C(OC(F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,[C](F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(=O)[O-],492.5195324,117.7132
O=C([O-])C(OC(C(OC(C(OC(F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,[C](F)(OC(F)(C(=O)[O-])C(F)(F)F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,471.5812222,112.7089
O=C([O-])C(OC(C(OC(C(OC(F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,[C](OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)[O-])C(F)(F)F,440.6785642,105.3231
O=C([O-])C(OC(C(OC(C(OC(F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,[C](F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)OC(F)(C(=O)[O-])C(F)(F)F,487.4656018,116.5053
O=C([O-])C(OC(C(OC(C(OC(F)(C(C(F)(F)F)(F)F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,[C](F)(OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)[O-])C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,469.3912833,112.1855
